tester,testName,year,mth,day,hour,min,sec,partNo,partRef,age,gender,trialNo,trialType,trialVar,accu,dotPr,touchTime,respTime,trialTime,animShown,prpt location,validity_basedonRT,reason invalid,terminated early?,reason terminated,held back?,override software,Reason overwritten,retain RT as >5000ms,notes,respTime,med. Time inh,med. Time prpt,trialVar,accu,accu prpt,accu inh,coder
alexandra,24m2h,2024,10,19,15,28,21,2769,143,25,male,1,prr,,1,0,6778,6778,6778,elephant,right,1,,no,,none,,none,0,none,6778,,,,1,,,AP
alexandra,24m2h,2024,10,19,15,28,32,2769,143,25,male,1,prr,,1,0,2380,2380,2380,apple,,1,,,,,,,1,,2380,,,,1,,,
alexandra,24m2h,2024,10,19,15,28,39,2769,143,25,male,1,tpr,prpt,1,0,2355,2355,2355,bus,,1,,,,,,,1,,2355,,2355,prpt,1,1,,
alexandra,24m2h,2024,10,19,15,28,46,2769,143,25,male,2,tpr,prpt,1,0,1303,1303,1303,bus,,1,,,,,,,1,,1303,,1303,prpt,1,1,,
alexandra,24m2h,2024,10,19,15,28,51,2769,143,25,male,3,tpr,prpt,1,0,1226,1226,1226,owl,,1,,,,,,,1,,1226,,1226,prpt,1,1,,
alexandra,24m2h,2024,10,19,15,28,56,2769,143,25,male,4,tpr,prpt,1,0,1589,1589,1589,elephant4,,1,,,,,,,1,,1589,,1589,prpt,1,1,,
alexandra,24m2h,2024,10,19,15,29,2,2769,143,25,male,5,tpr,prpt,1,0,1602,1602,1602,flower,,1,,,,,,,1,,1602,,1602,prpt,1,1,,
alexandra,24m2h,2024,10,19,15,29,8,2769,143,25,male,6,tpr,inhb,1,0,1195,1195,1195,elephant4,,1,,,,,,,1,,1195,1195,,inhb,1,,1,
alexandra,24m2h,2024,10,19,15,29,13,2769,143,25,male,7,tpr,prpt,1,0,1774,2149,2149,bus,,1,,,,,,,1,,2149,,2149,prpt,1,1,,
alexandra,24m2h,2024,10,19,15,29,19,2769,143,25,male,8,tpr,inhb,0,0,1015,1015,1015,elephant2,,1,,,,,,,1,,1015,,,inhb,0,,,
alexandra,24m2h,2024,10,19,15,29,31,2769,143,25,male,9,tpr,inhb,1,0,1103,1103,1103,apple,,1,,,,,,,1,,1103,1103,,inhb,1,,1,
alexandra,24m2h,2024,10,19,15,29,36,2769,143,25,male,10,tpr,prpt,0,0,954,954,954,flower,,1,,,,,,,1,,954,,,prpt,0,,,
alexandra,24m2h,2024,10,19,15,29,44,2769,143,25,male,11,tpr,inhb,1,0,1617,1617,1617,apple,,1,,,,,,,1,,1617,,1617,inhb,1,1,,
alexandra,24m2h,2024,10,19,15,29,50,2769,143,25,male,12,tpr,prpt,0,0,208,208,208,elephant4,,0,3,,,,,,1,,208,,,prpt,0,,,
alexandra,24m2h,2024,10,19,15,29,57,2769,143,25,male,13,tpr,inhb,1,0,1314,1314,1314,apple,,1,,,,,,,1,,1314,1314,,inhb,1,,1,
alexandra,24m2h,2024,10,19,15,30,2,2769,143,25,male,14,tpr,prpt,0,0,1232,1232,1232,apple,,1,,,,,,,1,,1232,,,prpt,0,,,
alexandra,24m2h,2024,10,19,15,30,10,2769,143,25,male,15,tpr,prpt,1,0,7224,7224,7224,elephant,,1,,,,,,,0,,7224,,,prpt,1,1,,
alexandra,24m2h,2024,10,19,15,30,22,2769,143,25,male,16,tpr,prpt,1,0,1409,1409,1409,apple,,1,,,,,,,1,,1409,,1409,prpt,1,1,,
alexandra,24m2h,2024,10,19,15,30,27,2769,143,25,male,17,tpr,prpt,1,0,364,1048,1048,elephant4,,1,,,,,,,1,,1048,,1048,prpt,1,1,,
alexandra,24m2h,2024,10,19,15,30,33,2769,143,25,male,18,tpr,prpt,1,0,1191,1191,1191,bus,,1,,,,,,,1,,1191,,1191,prpt,1,1,,
alexandra,24m2h,2024,10,19,15,30,38,2769,143,25,male,19,tpr,inhb,0,0,1216,1217,1217,owl,,1,,,,,,,1,,1217,,,inhb,0,,,
alexandra,24m2h,2024,10,19,15,30,45,2769,143,25,male,20,tpr,prpt,1,0,1664,1664,1664,flower,,1,,,,,,,1,,1664,,1664,prpt,1,,1,
alexandra,24m2h,2024,10,19,15,30,51,2769,143,25,male,21,tpr,prpt,1,0,173,180,180,apple,,0,3,,,,,,1,,180,,,prpt,1,1,,
alexandra,24m2h,2024,10,19,15,30,55,2769,143,25,male,22,tpr,prpt,1,0,568,676,676,elephant4,,1,,,,,,,1,,676,,676,prpt,1,1,,
alexandra,24m2h,2024,10,19,15,31,0,2769,143,25,male,23,tpr,inhb,1,0,1436,2670,2670,elephant,,1,,,,,y,c,1,,1456,1456,,inhb,1,,1,
alexandra,24m2h,2024,10,19,15,31,7,2769,143,25,male,24,tpr,prpt,1,0,1588,1588,1588,elephant4,,1,,,,,,,1,,1588,,1588,prpt,1,1,,
alexandra,24m2h,2024,10,19,15,31,13,2769,143,25,male,25,tpr,prpt,1,0,1299,1300,1300,elephant,,1,,,,,,,1,,1300,,1300,prpt,1,1,,
alexandra,24m2h,2024,10,19,15,31,18,2769,143,25,male,26,tpr,prpt,1,0,1436,1436,1436,owl,,1,,,,,,,1,,1436,,1436,prpt,1,1,,
alexandra,24m2h,2024,10,19,15,31,24,2769,143,25,male,27,tpr,prpt,1,0,7748,7748,7748,bus,,1,,,,,,,0,,7748,,,prpt,1,1,,
alexandra,24m2h,2024,10,19,15,31,36,2769,143,25,male,28,tpr,prpt,1,0,1772,1772,1772,flower,,1,,,,,,,1,,1772,,1772,prpt,1,1,,
alexandra,24m2h,2024,10,19,15,31,42,2769,143,25,male,29,tpr,inhb,1,0,1725,1726,1726,elephant4,,1,,,,,,,1,,1726,1726,,inhb,1,,1,
alexandra,24m2h,2024,10,19,15,31,48,2769,143,25,male,30,tpr,prpt,1,0,1664,1664,1664,elephant,,1,,,,,,,1,,1664,,1664,prpt,1,1,,
alexandra,24m2h,2024,10,19,15,31,53,2769,143,25,male,31,tpr,prpt,1,0,1366,1367,1367,flower,,1,,,,,,,1,,1367,,1367,prpt,1,1,,
alexandra,24m2h,2024,10,19,15,31,59,2769,143,25,male,32,tpr,prpt,1,0,1021,1022,1022,bus,,1,,,,,,,1,,1022,,1022,prpt,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1314,1436,,,21/22,6 out of 8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9545,0.75,
